kor_name,eng_name,country,beer_category_1,beer_category_2,abv,ibu,thumbnail
구스 아이피에이,GOOSE IPA,UNITED STATES,ALE,,5.9 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/58.jpeg
구스 아일랜드 312 얼반 위트 에일,GOOSE ISLAND 312 URBAN WHEAT ALE,UNITED STATES,WEIZEN,,4.2 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/59.jpeg
그레벤슈타이너 오리지널,GREVENSTEINER ORIGINAL,GERMANY,PILSNER,,5.2 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/60.jpeg
그림버겐 블랑쉬,GRIMBERGEN BLANCHE,BELGIUM,WEIZEN,,6.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/61.jpeg
기네스 엑스트라 스타우트,GUINESS EXTRA STOUT,IRELAND,DUNKEL,,5.0 ,47,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/62.jpeg
기네스 드래프트,GUINNESS DRAUGHT,IRELAND,DUNKEL,,4.2 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/63.jpeg
하날레이 아일랜드 아이피에이,HANALEI ISLAND IPA,UNITED STATES,ALE,,4.5 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/64.jpeg
핸드 앤 애플 사이더 사과맛,HAND & APPLE CIDER APPLE,SOUTH KOREA,ETC,FRUIT,4.5 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/65.jpeg
핸드 앤 애플 사이더 수박 & 오이맛,HAND & APPLE CIDER WATERMELON & CUCUMBER,SOUTH KOREA,ETC,FRUIT,4.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/66.jpeg
한옥마을 에일,HANOK VILLAGE ALE,SOUTH KOREA,ALE,,4.5 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/67.jpeg
하얼빈,HARBIN,CHINA,LAGER,,4.8 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/68.jpeg
하이네켄,HEINEKEN,NETHERLANDS,LAGER,,5.0 ,23,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/69.jpeg
하이네켄 실버,HEINEKEN SILVER,NETHERLANDS,LAGER,,4.0 ,10,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/70.jpeg
하이트 제로,HITE ZERO,SOUTH KOREA,NON_ALCOHOLIC,,,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/71.jpeg
홉고블린 골드,HOBGOBLIN GOLD,ENGLAND,ALE,,4.5 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/72.jpeg
홉고블린 루비,HOBGOBLIN RUBY,ENGLAND,ALE,,,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/73.jpeg
호가든,HOEGAARDEN,BELGIUM,WEIZEN,,4.9 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/74.jpeg
호가든 보타닉,HOEGAARDEN BOTANIC,BELGIUM,WEIZEN,FRUIT,2.5 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/75.jpeg
호가든 프룻브루 페어,HOEGAARDEN PEAR,BELGIUM,WEIZEN,FRUIT,3.9 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/76.jpeg
호가든 프룻브루 로제,HOEGAARDEN ROSE,BELGIUM,WEIZEN,FRUIT,3.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/77.jpeg
호가든 논 알콜릭,HOEGAARDEN NON_ALCOHOLIC,BELGIUM,NON_ALCOHOLIC,,,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/78.jpeg
홉 하우스 13 라거,HOP HOUSE 13 LAGER,IRELAND,LAGER,,5.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/79.jpeg
인디카 아이피에이,INDICA IPA,FRANCE,ALE,,6.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/80.jpeg
이네딧 담,INEDIT DAMM,SPAIN,WEIZEN,,4.8 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/81.jpeg
제주 거멍 에일,JEJU GEOMEONG ALE,SOUTH KOREA,ALE,DUNKEL,4.3 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/82.jpeg
제주 라거,JEJU LAGER,SOUTH KOREA,LAGER,,5.0 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/83.jpeg
제주 펠롱 에일,JEJU PELLONG ALE,SOUTH KOREA,ALE,,5.5 ,34,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/84.jpeg
제주 슬라이스,JEJU SLICE,SOUTH KOREA,ALE,FRUIT,4.1 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/85.jpeg
제주 위트 에일,JEJU WIT ALE,SOUTH KOREA,WEIZEN,,5.3 ,16,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/86.jpeg
진달래 맥주,JIN DA LAI BEER,CHINA,LAGER,,4.1 ,,https://getabeer.s3.ap-northeast-2.amazonaws.com/GetABeer_Products/87.jpeg
